Activity Name	Activity Type	Month	Date Long	Date	Date Value	Day of Week	Time	Distance	Elevation Gain	Avg Pace	Max Pace	Avg HR	Max HR	Calories	Training Effect
Boulder Running	Running	July	Sun, Jul 12, 2015 12:24 PM	7/12/2015	42197	Sunday	4:00:19	17.34	3399	13:52	6:46	130	154	2120	4.3
Manitou Springs Running	Running	July	Sat, Jul 11, 2015 8:38 AM	7/11/2015	42196	Saturday	6:40:50	32.11	7021	15:37	5:47	138	160	4765	5
Boulder Running	Running	July	Thu, Jul 9, 2015 4:05 PM	7/9/2015	42194	Thursday	1:27:25	9.74	259	8:58	5:48	148	162	1247	5
Boulder Running	Running	July	Wed, Jul 8, 2015 3:58 PM	7/8/2015	42193	Wednesday	2:49:58	14.01	2320	12:08	4:55	138	170	1844	5
Boulder Running	Running	July	Tue, Jul 7, 2015 4:56 PM	7/7/2015	42192	Tuesday	1:36:06	10.09	295	9:31	4:49	144	160	1381	5
Boulder Running	Running	July	Sun, Jul 5, 2015 11:24 AM	7/5/2015	42190	Sunday	55:34:00	6.06	164	9:10	5:35	144	160	798	5
Boulder Running	Running	July	Wed, Jul 1, 2015 4:04 PM	7/1/2015	42186	Wednesday	57:43:00	5.14	161	11:14	6:02	122	135	688	3.4
Leadville Running	Running	June	Mon, Jun 29, 2015 10:07 AM	6/29/2015	42184	Monday	3:47:49	20.81	1562	10:50	7:16	138	167	2987	5
Twin Lakes Running	Running	June	Sun, Jun 28, 2015 8:38 AM	6/28/2015	42183	Sunday	6:22:26	21.21	6463	18:02	5:03	141	169	4799	5
Leadville Running	Running	June	Sat, Jun 27, 2015 8:35 AM	6/27/2015	42182	Saturday	4:59:23	25.78	2871	11:37	6:46	143	163	4391	5
Boulder Running	Running	June	Thu, Jun 25, 2015 2:45 PM	6/25/2015	42180	Thursday	1:45:54	10.17	285	10:25	6:04	179	210	1429	4
Boulder Running	Running	June	Wed, Jun 24, 2015 4:50 PM	6/24/2015	42179	Wednesday	2:28:33	13.97	433	10:38	5:09	171	203	1942	3.9
Boulder Running	Running	June	Tue, Jun 23, 2015 4:08 PM	6/23/2015	42178	Tuesday	1:58:21	10.08	1138	11:45	5:53	155	206	1474	3.5
Boulder Running	Running	June	Sun, Jun 21, 2015 12:03 PM	6/21/2015	42176	Sunday	1:48:50	7.96	1562	13:40	8:02	148	187	1155	3
Boulder Running	Running	June	Sat, Jun 20, 2015 9:47 AM	6/20/2015	42175	Saturday	2:42:18	12.03	2234	13:29	5:27	151	195	1873	3.2
Boulder Running	Running	June	Thu, Jun 18, 2015 4:29 PM	6/18/2015	42173	Thursday	56:35:00	6.12	187	9:15	6:13	143	158	711	3.3
Boulder Running	Running	June	Wed, Jun 17, 2015 4:23 PM	6/17/2015	42172	Wednesday	1:19:13	8.02	256	9:52	4:58	146	158	980	3.1
Boulder Running	Running	June	Tue, Jun 16, 2015 4:05 PM	6/16/2015	42171	Tuesday	57:54:00	6.34	207	9:08	4:03	140	156	669	3
Leadville Running	Running	June	Sun, Jun 14, 2015 7:46 AM	6/14/2015	42169	Sunday	5:15:32	24.9	1467	12:40	7:26	136	160	2965	3.8
Leadville Running	Running	June	Sat, Jun 13, 2015 9:38 AM	6/13/2015	42168	Saturday	4:41:14	24.77	1640	11:21	6:33	144	162	3120	4
Boulder Running	Running	June	Thu, Jun 11, 2015 3:49 PM	6/11/2015	42166	Thursday	43:50:00	5.1	184	8:36	4:51	146	161	503	3.3
Boulder Running	Running	June	Wed, Jun 10, 2015 2:16 PM	6/10/2015	42165	Wednesday	2:12:22	9.92	1890	13:20	7:41	162	201	1487	4.5
Boulder Running	Running	June	Tue, Jun 9, 2015 4:17 PM	6/9/2015	42164	Tuesday	59:11:00	5.1	161	11:36	6:10	177	207	719	4
Boulder Running	Running	June	Sun, Jun 7, 2015 10:22 AM	6/7/2015	42162	Sunday	4:32:17	19.95	4088	13:39	3:37	148	183	2777	3.2
Boulder Running	Running	June	Sat, Jun 6, 2015 10:19 AM	6/6/2015	42161	Saturday	4:25:15	18	4226	14:44	6:14	143	171	2271	--
Boulder Running	Running	June	Thu, Jun 4, 2015 4:15 PM	6/4/2015	42159	Thursday	1:51:32	10.17	299	10:58	5:32	149	160	1183	3.3
Boulder Running	Running	June	Wed, Jun 3, 2015 4:05 PM	6/3/2015	42158	Wednesday	2:07:06	10	1982	12:43	7:07	150	169	1288	3.8
Boulder Running	Running	June	Tue, Jun 2, 2015 4:01 PM	6/2/2015	42157	Tuesday	1:53:53	10.03	308	11:22	5:17	142	182	1120	2.9
Boulder Running	Running	May	Sun, May 31, 2015 11:32 AM	5/31/2015	42155	Sunday	4:07:39	19.75	2192	12:32	4:46	148	170	2639	3.8
Boulder Running	Running	May	Sat, May 30, 2015 11:11 AM	5/30/2015	42154	Saturday	5:50:10	24.57	4370	14:15	5:07	149	186	3485	4.1
Boulder Running	Running	May	Thu, May 28, 2015 3:59 PM	5/28/2015	42152	Thursday	1:40:15	10.01	308	10:01	7:22	150	173	1258	3.6
Boulder Running	Running	May	Wed, May 27, 2015 4:36 PM	5/27/2015	42151	Wednesday	1:22:26	8.39	246	9:50	4:51	153	165	1062	3.4
Boulder Running	Running	May	Tue, May 26, 2015 4:01 PM	5/26/2015	42150	Tuesday	59:28:00	6.26	197	9:30	6:23	147	169	739	3.2
Boulder Running	Running	May	Sun, May 24, 2015 2:54 PM	5/24/2015	42148	Sunday	2:00:51	8.31	1381	14:33	4:55	137	179	1223	2.6
Boulder Running	Running	May	Sat, May 23, 2015 10:31 AM	5/23/2015	42147	Saturday	2:04:38	9.33	1647	13:22	7:05	150	174	1541	3.9
Brooklyn Running	Running	May	Thu, May 21, 2015 6:45 AM	5/21/2015	42145	Thursday	53:04:00	6.08	358	8:43	3:44	161	194	758	3.8
Brooklyn Running	Running	May	Wed, May 20, 2015 6:42 AM	5/20/2015	42144	Wednesday	1:39:12	7.98	305	12:26	6:05	153	175	1128	2.8
Brooklyn Running	Running	May	Tue, May 19, 2015 6:27 AM	5/19/2015	42143	Tuesday	54:50:00	6.11	243	8:59	5:39	147	163	781	3.8
Brooklyn Running	Running	May	Sun, May 17, 2015 10:04 AM	5/17/2015	42141	Sunday	2:35:52	13.95	486	11:10	4:49	130	154	1441	3.1
Brooklyn Running	Running	May	Sat, May 16, 2015 9:59 AM	5/16/2015	42140	Saturday	3:30:21	21	781	10:01	2:56	138	175	2160	3.5
Brooklyn Running	Running	May	Thu, May 14, 2015 6:24 AM	5/14/2015	42138	Thursday	2:03:26	10.26	830	12:02	6:05	122	145	1049	2.7
